Era 1
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.43
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -58.61
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.97
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.20
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.08
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.96
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.66
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -61.46
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.51
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -62.04
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -61.35
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.90
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.61
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.97
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.54
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.42
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.27
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -102.19
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -66.02
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -95.42
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.49
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -61.12
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.13
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -72.28
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -56.17
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -61.75
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.22
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -56.84
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.36
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.04
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.51
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -54.13
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.96
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -57.18
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.23
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -60.23
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.05
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.31
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -68.74
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.31
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.19
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.20
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.58
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.40
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.01
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.05
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.04
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.54
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -58.54
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.00
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -57.53
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -55.51
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -63.46
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.56
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.65
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -55.46
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.04
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.67
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -67.07
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.65
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -55.37
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -90.40
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -57.49
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.55
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -62.11
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -57.57
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.98
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -56.07
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.19
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.28
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -55.75
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -83.13
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.99
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.24
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -61.03
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -59.43
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -90.31
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -57.19
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.38
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -94.88
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.18
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.38
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -99.70
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.08
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -65.53
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.22
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.93
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -109.29
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.82
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -111.55
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -59.56
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -58.95
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -75.20
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.19
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -54.79
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -54.67
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -109.29
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -54.31
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -55.09
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.16
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.65
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -58.61
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -54.97
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.20
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.08
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -55.96
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.66
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -61.46
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -55.51
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -62.04
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -61.35
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -56.90
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -56.61
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.97
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.54
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -54.42
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -56.27
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -102.19
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -66.02
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -95.42
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -56.49
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -61.12
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.13
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -72.28
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -56.17
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -61.75
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.22
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -56.84
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -56.36
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -54.04
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -57.51
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -54.13
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -57.96
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -57.18
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -57.23
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -60.23
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.05
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -57.31
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -68.74
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.31
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.19
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -55.20
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.58
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -57.40
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.01
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.05




Era 17
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -57.42
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.64
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.81
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.42
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.02
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.41
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.61
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -56.30
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -64.15
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -59.84
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -60.34
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -56.76
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -60.70
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -56.20
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -57.31
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.00
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.08
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.20
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.36
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.82
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -55.52
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.50
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.35
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.99
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -57.50
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.60
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -58.88
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -57.51
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.36
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.73
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.82
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.70
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -66.90
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -57.06
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.81
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.94
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.29
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -55.65
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -62.45
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.15
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.53
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.58
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.42
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.01
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.12
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.48
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.91
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.28
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -57.81
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -57.69
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.75
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.99
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -61.07
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.74
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.29
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -68.94
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.24
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.75
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -60.14
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -59.67
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -55.16
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -69.08
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -63.98
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -62.18
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.77
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.82
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.81
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.83
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.52
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -53.93
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -68.77
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.34
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.14
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -52.93
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.86
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -58.70
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -56.22
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -61.00
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -68.11
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.74
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.94
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.97
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.26
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -54.25
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.67
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.60
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -55.97
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -55.77
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -59.04
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -54.22
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -61.79
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -63.30
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -59.31
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -57.74
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -60.29
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -57.19
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -53.83
Expected = path, 	 Predicted = sky, 	 Log of the likelihood = -58.08
Expected = path, 	 Predicted = brickface, 	 Log of the likelihood = -59.47
Expected = path, 	 Predicted = path, 	 Log of the likelihood = -58.56
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -57.42
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.64
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.81
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.42
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.02
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.41
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.61
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -56.30
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -64.15
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -59.84
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -60.34
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -56.76
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -60.70
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -56.20
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -57.31
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.00
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.08
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.20
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.36
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.82
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.52
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.50
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.35
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.99
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -57.50
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.60
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -58.88
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -57.51
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.36
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.73
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.82
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.70
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -66.90
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -57.06
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.81
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.94
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.29
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.65
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -62.45
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.15
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.53
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.58
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.42
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.01
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.12
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.48
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.91
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.28
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -57.81
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -57.69
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.75
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.99
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -61.07
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.74
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.29
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -68.94
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.24
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.75
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -60.14
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -59.67
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -55.16
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -69.08
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -63.98
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -62.18
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.77
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.82
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.81
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.83
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.52
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -53.93
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -68.77
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.34
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.14
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -52.93
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.86
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -58.70
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -56.22
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -61.00
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -68.11
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.74
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.94
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.97
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.26
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -54.25
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.67
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.60
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -55.97
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -55.77
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -59.04
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -54.22
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -61.79
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -63.30
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -59.31
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -57.74
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -60.29
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -57.19
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -53.83
Expected = sky, 	 Predicted = sky, 	 Log of the likelihood = -58.08
Expected = sky, 	 Predicted = brickface, 	 Log of the likelihood = -59.47
Expected = sky, 	 Predicted = path, 	 Log of the likelihood = -58.56
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -57.42
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.64
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.81
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -59.42
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.02
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -60.41
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.61
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -56.30
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -64.15
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -59.84
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -60.34
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -56.76
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -60.70
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -56.20
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -57.31
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -57.00
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -60.08
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -55.20
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.36
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -57.82
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.52
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -59.50
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.35
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.99
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -57.50
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.60
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -58.88
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -57.51
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -60.36
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -57.73
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -57.82
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.70
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -66.90
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -57.06
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.81
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -53.94
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -57.29
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -55.65
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -62.45
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -57.15
Expected = brickface, 	 Predicted = path, 	 Log of the likelihood = -54.53
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -57.58
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -57.42
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -58.01
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -57.12
Expected = brickface, 	 Predicted = brickface, 	 Log of the likelihood = -54.48
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -57.91
Expected = brickface, 	 Predicted = sky, 	 Log of the likelihood = -59.28
